ClusterId,NodeId,NodeType,Region,CurrItems (max over last week),BytesUsedForCache (max over last week),CacheHits (max over last week),CacheMisses (max over last week),CurrConnections (max over last week),NetworkBytesIn (max over last week),NetworkBytesOut (max over last week),NetworkPacketsIn (max over last week),NetworkPacketsOut (max over last week),EngineCPUUtilization (max over last week),Evictions (max over last week),ReplicationBytes (max over last week),ReplicationLag (max over last week),GetTypeCmds (peak last week / hour),HashBasedCmds (peak last week / hour),HyperLogLogBasedCmds (peak last week / hour),KeyBasedCmds (peak last week / hour),ListBasedCmds (peak last week / hour),SetBasedCmds (peak last week / hour),SetTypeCmds (peak last week / hour),SortedSetBasedCmds (peak last week / hour),StringBasedCmds (peak last week / hour),StreamBasedCmds (peak last week / hour),,
portal-prod5-v3,portal-prod5-v3-003,cache.r4.2xlarge,ap-southeast-1b,103900924,18464768544,269901,47300,1837,321493765,11039731990,1153879,7605773,26.42107018,0,0,0,310552,132339,0,43878,0,76,67354,0,211173,0,,
portal-prod5-v3,portal-prod5-v3-004,cache.r4.2xlarge,ap-southeast-1b,103901321,18469200912,268793,39150,1754,307120300,10838300397,907029,7434735,25.0541757,0,0,0,308298,130820,0,43447,0,85,68225,0,221580,0,,
portal-prod5-v3,portal-prod5-v3-006,cache.r4.2xlarge,ap-southeast-1a,103901004,18466846416,265160,39869,1881,314116396,11088579468,856644,7613510,50.58333333,0,0,0,306759,121968,0,42513,0,78,67773,0,207926,0,,
,portal-sentry-cache,cache.r3.2xlarge,ap-southeast-1a,193715,143117720,17279,18856,86,253962853,301086438,237286,249376,10.96666667,0,0,0,24652,204669,12936,224620,14398,8320,464711,38,11336,0,,
prod-comm-engine-v3,prod-comm-engine-v3-001,cache.r4.2xlarge,ap-southeast-1a,41650566,32658854480,30511,934,30,26218872,42029988,112574,120597,2.850475079,0,17180084,0,31331,403,0,28335,0,0,56901,0,59542,0,,
prod-comm-engine-v3,prod-comm-engine-v3-002,cache.r4.2xlarge,ap-southeast-1b,41650557,32658239720,0,0,5,18994272,1852039,28527,14467,0.683333333,0,0,0,0,126,0,5,0,0,28531,0,28436,0,,
prod-de-batch-redis,prod-de-batch-redis-001,cache.r3.2xlarge,ap-southeast-1b,3816600,17042311728,946865,512,184,404736847,1725142975,1484194,1738038,29.63333333,0,0,0,790619,946907,0,161607,0,0,322181,0,64,0,,
prod-de-batch-redis,prod-de-batch-redis-002,cache.r3.2xlarge,ap-southeast-1a,3816573,17040913192,155562,0,162,309421427,313278081,619189,648807,16.55275879,0,273881879,0,1,155562,0,155562,0,0,311184,0,60,0,,
prod-deployer,prod-deployer,cache.t2.medium,ap-southeast-1b,614,8635424,20719,1,39,3818751,2943202,44137,41903,2.083333333,0,17193,0,20719,0,0,6,20800,0,20801,0,20720,0,,
prod-deployer,prod-deployer-2,cache.t2.medium,ap-southeast-1a,614,7665400,0,0,5,87359,1085969,587,461,0.233450058,0,0,0,0,0,0,5,174,0,184,0,28,0,,
prod-de-redis,prod-de-rslave-001,cache.r3.2xlarge,ap-southeast-1a,22797467,17752615400,1017668,126465,391,1135367815,144440192,1850073,1647858,57.16666667,0,0,0,1602535,354414,0,662704,3205,32614,322506,0,958931,0,,
prod-de-redis,prod-de-rslave-004,cache.r3.2xlarge,ap-southeast-1a,22078579,16405485888,1094579,107048,328,1225431131,152266064,1972099,1767607,52.45874312,0,0,0,1723519,384574,0,690418,3430,33354,316692,0,940110,0,,
prod-oms-sdr-v2,prod-oms-sdr-v2-001,cache.r3.large,ap-southeast-1b,5966922,1905798216,458757,45793,1207,92033028,146645318,888529,798194,31.62193699,0,15414123,0,497665,50230,0,28462,583,13642,70697,0,481856,0,,
prod-oms-sdr-v2,prod-oms-sdr-v2-002,cache.r3.large,ap-southeast-1a,5966912,1871012792,6415,0,4,17195120,132174951,51751,94068,3.001000333,0,0,0,1,6309,0,15847,0,80,58808,0,39711,0,,
rng-infra,rng-infra-001,cache.r3.large,ap-southeast-1b,46958,28582144,4973266,2508787,602,385925413,154741731,488383,338796,15.48849617,0,0,0,244577,123620,0,37,0,0,43,0,120961,0,,
